iter	Logloss
0	0.5672028286
1	0.4796518222
2	0.4210564219
3	0.3825746764
4	0.3557361844
5	0.3374111311
6	0.3241325438
7	0.3152388386
8	0.3083660436
9	0.3031929164
10	0.2996486341
11	0.2963622752
12	0.2945143353
13	0.2927624068
14	0.2918292177
15	0.2905234142
16	0.2896054009
17	0.2888756159
18	0.2883019318
19	0.2880401136
20	0.2876188374
21	0.2872842795
22	0.2871227311
23	0.2869789668
24	0.286774853
25	0.2865468871
26	0.2864398574
27	0.2863523709
28	0.2862130805
29	0.2860670146
30	0.285976008
31	0.2859032486
32	0.2858041454
33	0.285720237
34	0.2855750372
35	0.2855150595
36	0.2854217868
37	0.2853460866
38	0.2852765612
39	0.28518737
40	0.2851142377
41	0.2850471343
42	0.2849939102
43	0.2849351558
44	0.2848837256
45	0.2848196113
46	0.2847593414
47	0.2846918951
48	0.284636139
49	0.2845729909
50	0.2845302151
51	0.2844844806
52	0.2844483868
53	0.2844035144
54	0.2843501171
55	0.2843004769
56	0.2842478421
57	0.284197133
58	0.2841422374
59	0.2840914083
60	0.2840383898
61	0.2839862219
62	0.2839533549
63	0.2838932765
64	0.2838572616
65	0.283830351
66	0.2837843141
67	0.2837172519
68	0.2836793569
69	0.2836063079
70	0.2835575017
71	0.2835149201
72	0.2834839505
73	0.2834267167
74	0.2833841083
75	0.2833395706
76	0.2832923097
77	0.2832491546
78	0.283198071
79	0.2831396408
80	0.2830959116
81	0.2830612138
82	0.2830035159
83	0.2829522667
84	0.282903078
85	0.2828556276
86	0.2828049182
87	0.2827604589
88	0.2827397885
89	0.2826882928
90	0.2826403017
91	0.2826053413
92	0.2825525014
93	0.2825156144
94	0.2824818153
95	0.282408797
96	0.282349578
97	0.2822952825
98	0.2822546256
99	0.2821954749
100	0.2821438271
101	0.2820859525
102	0.2820395959
103	0.2819799937
104	0.2819179019
105	0.2818717336
106	0.2818135234
107	0.2817689892
108	0.2816983337
109	0.2816438885
110	0.2815884553
111	0.2815369449
112	0.2814612888
113	0.2813965261
114	0.2813491579
115	0.2812960193
116	0.2812303538
117	0.2811884287
118	0.2811218061
119	0.2810661473
120	0.2810368912
121	0.2809658817
122	0.2809132709
123	0.2808460626
124	0.2807920433
125	0.2807161916
126	0.2806708083
127	0.2806055252
128	0.280547833
129	0.2805090989
130	0.2804551147
131	0.280416441
132	0.2803584822
133	0.2803326791
134	0.2802774663
135	0.2802288408
136	0.2801587441
137	0.2801003733
138	0.2800464596
139	0.279983799
140	0.2799172487
141	0.2798546981
142	0.2797993661
143	0.2797483878
144	0.2796988196
145	0.2796371567
146	0.2795774838
147	0.2795219792
148	0.2794715233
149	0.279409097
150	0.2793637982
151	0.2793079791
152	0.2792527878
153	0.2791969941
154	0.2791677793
155	0.2791283613
156	0.2790558536
157	0.2790127856
158	0.2789622075
159	0.2789141543
160	0.2788734313
161	0.2788263169
162	0.278758386
163	0.2787099013
164	0.2786658775
165	0.2786096309
166	0.2785686261
